@ERR013138.1 IL39_4668:5:1:1035:1408/1
@ERR013138.2 IL39_4668:5:1:1035:8133/1
@ERR013138.3 IL39_4668:5:1:1035:6544/1
@ERR013138.4 IL39_4668:5:1:1035:2520/1
@ERR013138.5 IL39_4668:5:1:1036:15336/1
@ERR013138.6 IL39_4668:5:1:1036:18571/1
@ERR013138.7 IL39_4668:5:1:1036:7118/1
@ERR013138.8 IL39_4668:5:1:1036:12742/1
@ERR013138.9 IL39_4668:5:1:1036:11760/1
@ERR013138.10 IL39_4668:5:1:1036:5816/1
@ERR013138.11 IL39_4668:5:1:1036:16399/1
@ERR013138.12 IL39_4668:5:1:1036:18711/1
@ERR013138.13 IL39_4668:5:1:1037:18950/1
@ERR013138.14 IL39_4668:5:1:1037:21168/1
@ERR013138.15 IL39_4668:5:1:1037:20950/1
@ERR013138.16 IL39_4668:5:1:1037:4660/1
@ERR013138.17 IL39_4668:5:1:1037:17298/1
@ERR013138.18 IL39_4668:5:1:1037:11115/1
@ERR013138.19 IL39_4668:5:1:1037:17521/1
@ERR013138.20 IL39_4668:5:1:1037:4489/1
@ERR013138.21 IL39_4668:5:1:1037:17633/1
@ERR013138.22 IL39_4668:5:1:1037:14483/1
@ERR013138.23 IL39_4668:5:1:1038:2747/1
@ERR013138.24 IL39_4668:5:1:1038:13425/1
@ERR013138.25 IL39_4668:5:1:1038:12386/1
@ERR013138.26 IL39_4668:5:1:1038:7957/1
@ERR013138.27 IL39_4668:5:1:1038:10771/1
@ERR013138.28 IL39_4668:5:1:1038:15216/1
@ERR013138.29 IL39_4668:5:1:1038:19865/1
@ERR013138.30 IL39_4668:5:1:1038:18121/1
@ERR013138.31 IL39_4668:5:1:1039:16504/1
@ERR013138.32 IL39_4668:5:1:1039:3081/1
@ERR013138.33 IL39_4668:5:1:1039:4916/1
@ERR013138.34 IL39_4668:5:1:1040:1543/1
@ERR013138.35 IL39_4668:5:1:1040:8351/1
@ERR013138.36 IL39_4668:5:1:1040:12765/1
@ERR013138.37 IL39_4668:5:1:1040:12339/1
@ERR013138.38 IL39_4668:5:1:1040:20048/1
@ERR013138.39 IL39_4668:5:1:1040:6645/1
@ERR013138.40 IL39_4668:5:1:1040:18766/1
@ERR013138.41 IL39_4668:5:1:1040:1269/1
@ERR013138.42 IL39_4668:5:1:1040:3044/1
@ERR013138.43 IL39_4668:5:1:1040:15466/1
@ERR013138.44 IL39_4668:5:1:1040:7842/1
@ERR013138.45 IL39_4668:5:1:1041:7342/1
@ERR013138.46 IL39_4668:5:1:1041:18398/1
@ERR013138.47 IL39_4668:5:1:1041:12978/1
